,test_score,test_std,test_score_0,test_score_1,test_score_2,test_score_3,metric,seeds,task,split,representation,pretrained
35,0.2103697749196141,0.008114857871643153,0.2086816720257234,0.2118971061093247,0.2202572347266881,0.2006430868167202,accuracy,4,pfam,structure,voxel,True
36,0.6703079352505931,0.019355162439348598,0.6716758285005863,0.6474672292811574,0.6674473361496807,0.6946413470709478,spearmanr,4,ligand_affinity,random,graph,False
37,0.7230121281930522,0.028169715890642825,0.7089701700145846,0.6990197586961127,0.7209997502424166,0.7630588338190946,spearmanr,4,ligand_affinity,random,graph,True
38,0.6827878739393213,0.0030779729873456163,0.6837246291481952,0.6835372300553709,0.6783698201983664,0.6855198163553523,spearmanr,4,ligand_affinity,random,point_cloud,False
39,0.6839210378127896,0.010913677818660686,0.6727906128476432,0.6982336435272398,0.6857595910920684,0.6789003037842073,spearmanr,4,ligand_affinity,random,point_cloud,True
40,0.6901983067842832,0.015091895891731513,0.6699286923428712,0.6890088030553437,0.7054432229855339,0.6964125087533839,spearmanr,4,ligand_affinity,random,voxel,False
41,0.7049951469494862,0.013206646641663019,0.7243844661651189,0.7023035674149866,0.697215922300056,0.6960766319177836,spearmanr,4,ligand_affinity,random,voxel,True
42,0.5132010299564582,0.03145416070621519,0.5349855702991632,0.5430007988012986,0.4756822010926669,0.499135549632704,spearmanr,4,ligand_affinity,sequence,graph,False
43,0.5264459355859781,0.02998783397861944,0.5071711994052274,0.4946727813022256,0.5493413630065055,0.5545983986299536,spearmanr,4,ligand_affinity,sequence,graph,True
44,0.5646322096473744,0.011327714243378627,0.572390190205182,0.5760456576671783,0.5573623575143974,0.5527306332027393,spearmanr,4,ligand_affinity,sequence,point_cloud,False
45,0.5502726780456741,0.009905764532030514,0.5492573955476752,0.5520987750719132,0.537832355453798,0.5619021861093102,spearmanr,4,ligand_affinity,sequence,point_cloud,True
46,0.5494124470462234,0.03118431845884384,0.5819460233704056,0.5281882303254267,0.5696858734427828,0.5178296610462784,spearmanr,4,ligand_affinity,sequence,voxel,False
47,0.5638104380897981,0.021531151624199298,0.5844443431035563,0.5796864098019832,0.5407346384138401,0.5503763610398129,spearmanr,4,ligand_affinity,sequence,voxel,True
48,0.3826862139370632,0.03397683411926163,0.3601110932922627,0.4321406721417603,0.3606836347866099,0.3778094555276199,spearmanr,4,ligand_affinity,structure,graph,False
49,0.4280467508024571,0.03420219018345221,0.4392706260547295,0.3847594731117779,0.4663896013255729,0.421767302717748,spearmanr,4,ligand_affinity,structure,graph,True
50,0.3736338878479568,0.023542968293271207,0.378191396429749,0.3775387804951395,0.3976071982187242,0.3411981762482147,spearmanr,4,ligand_affinity,structure,point_cloud,False
51,0.37961854302123804,0.03927178681557955,0.3923314699894287,0.4229864191188788,0.3740714770956955,0.3290848058809493,spearmanr,4,ligand_affinity,structure,point_cloud,True
52,0.35481081568203227,0.04822305422835462,0.3577087367981095,0.3690976769714078,0.4037345880851752,0.2887022608734366,spearmanr,4,ligand_affinity,structure,voxel,False
53,0.38300416925875164,0.04290166444076143,0.4020167170295696,0.4018455340267916,0.4092918405397812,0.3188625854388642,spearmanr,4,ligand_affinity,structure,voxel,True
54,0.7207184945772361,0.009732211390704125,0.7253861032438755,0.7206049889580455,0.7072169512123149,0.7296659348947084,mcc,4,binding_site_detection,random,graph,False
55,0.7438573996928278,0.0028479951253280447,0.7454841584106285,0.7397526939447355,0.7441561166592466,0.7460366297567008,mcc,4,binding_site_detection,random,graph,True
56,0.6087833235643691,0.005785105033276532,0.613149190278629,0.6012256515308331,0.6134719039801653,0.6072865484678494,mcc,4,binding_site_detection,random,point_cloud,False
57,0.5503836047555555,0.004721074268724602,0.5481154876128702,0.5564567017474557,0.5455146498909896,0.5514475797709066,mcc,4,binding_site_detection,random,point_cloud,True
